Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L10-Q011,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Match Pairs,Mixed review: Match sentence clues.,Match each item to its partner.,Who? = Mia,What? = red ball,Where? = school,,Who? = Mia; What? = red ball; Where? = school,"These pairs match: Who? = Mia, What? = red ball, Where? = school.",Match one pair at a time.,Listen carefully. Mixed review: Match sentence clues.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q012,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Tap Correct,Mixed review: Tap the action word.,Tap the correct answer.,book,jump,red,cat,jump,The correct answer is jump.,Action words show doing.,Listen carefully. Mixed review: Tap the action word.,english-card,Action and object word cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q013,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Tap Correct,Mixed review: Tap the word for a sun picture.,Tap the correct answer.,sun,run,fun,bun,sun,The correct answer is sun.,Use the picture.,Listen carefully. Mixed review: Tap the word for a sun picture.,english-card,Sun picture with rhyming word cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q014,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Tap Correct,Mixed review: Tap the sentence with a capital letter.,Tap the correct answer.,i see a dog.,I see a dog.,see I a dog.,i See a dog.,I see a dog.,The correct answer is I see a dog..,Sentences start with capitals.,Listen carefully. Mixed review: Tap the sentence with a capital letter.,english-card,Sentence cards with first letters.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q015,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Tap Correct,Mixed review: Tap the colour word.,Tap the correct answer.,blue,run,cat,school,blue,The correct answer is blue.,Colour words tell colour.,Listen carefully. Mixed review: Tap the colour word.,english-card,Blue card and word cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q016,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Tap Correct,Mixed review: Tap the word that starts with /p/.,Tap the correct answer.,fish,sun,pen,dog,pen,The correct answer is pen.,Pen starts with /p/.,Listen carefully. Mixed review: Tap the word that starts with /p/.,english-card,Object picture cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q017,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Fill Missing Letter,Mixed review: Fill the missing letter: A _ C,Type the missing letter.,,,,,B,"A, B, C is correct.",Use alphabet order.,Listen carefully. Mixed review: Fill the missing letter: A _ C,english-card,Alphabet sequence A blank C.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q018,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Fill Missing Letter,Mixed review: Fill the first letter: _at. Picture: cat.,Type the missing letter.,,,,,c,Cat starts with c.,Listen to the first sound.,Listen carefully. Mixed review: Fill the first letter: _at. Picture: cat.,english-card,Cat picture and blank-at word card.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q019,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Fill Missing Letter,Mixed review: Fill the missing letter: p_n. Picture: pen.,Type the missing letter.,,,,,e,Pen has e in the middle.,Listen for the middle sound.,Listen carefully. Mixed review: Fill the missing letter: p_n. Picture: pen.,english-card,Pen picture with p_blank_n.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q020,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Fill Missing Letter,Mixed review: Fill the missing letter: su_. Picture: sun.,Type the missing letter.,,,,,n,Sun ends with n.,Say the last sound.,Listen carefully. Mixed review: Fill the missing letter: su_. Picture: sun.,english-card,Sun picture with su_blank.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q021,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Fill Missing Letter,Mixed review: Fill the missing letter: ru_.,Type the missing letter.,,,,,n,Run ends with n.,Listen to the final sound.,Listen carefully. Mixed review: Fill the missing letter: ru_.,english-card,Run action picture with ru_blank.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q022,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Fill Missing Word,Mixed review: I ___ a cat.,Type the missing word.,,,,,see,I see a cat is correct.,Use a sight word.,Listen carefully. Mixed review: I ___ a cat.,english-card,Cat picture with sentence I blank a cat.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q023,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Fill Missing Word,Mixed review: The dog ___.,Type the missing word.,,,,,runs,Runs is the action word.,What does the dog do?,Listen carefully. Mixed review: The dog ___.,english-card,Dog running picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q024,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Fill Missing Word,Mixed review: The opposite of big is ___.,Type the missing word.,,,,,small,Small is the opposite of big.,Use the opposite pair.,Listen carefully. Mixed review: The opposite of big is ___.,english-card,Big and small picture cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q025,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Text Input,Mixed review: Type the word for a fish picture.,Type the answer.,,,,,fish,The word is fish.,Type the picture name.,Listen carefully. Mixed review: Type the word for a fish picture.,english-card,Fish picture and answer box.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q026,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Text Input,Mixed review: Type the first letter in tiger.,Type the answer.,,,,,t,Tiger starts with t.,Listen to the first sound.,Listen carefully. Mixed review: Type the first letter in tiger.,english-card,Tiger picture with answer box.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q027,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Text Input,Mixed review: Type where Ben goes in: Ben goes to school.,Type the answer.,,,,,school,Ben goes to school.,Where asks about place.,Listen carefully. Mixed review: Type where Ben goes in: Ben goes to school.,english-card,Ben walking to school.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q028,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",True / False,Mixed review: A and a match.,Choose True or False.,True,False,,,True,A and a are the same letter.,Match uppercase and lowercase.,Listen carefully. Mixed review: A and a match.,english-card,A and a cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q029,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",True / False,Mixed review: Dog begins with s.,Choose True or False.,True,False,,,False,Dog begins with d.,Listen to the first sound.,Listen carefully. Mixed review: Dog begins with s.,english-card,Dog picture and letter cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q030,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",True / False,Mixed review: The fish swims makes sense.,Choose True or False.,True,False,,,True,The fish swims is a sensible sentence.,Check the meaning.,Listen carefully. Mixed review: The fish swims makes sense.,english-card,Fish swimming picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
