Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L07-Q011,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Match Pairs,Match punctuation to names.,Match each item to its partner.,. = full stop,? = question mark,! = exclamation mark,,. = full stop; ? = question mark; ! = exclamation mark,"These pairs match: . = full stop, ? = question mark, ! = exclamation mark.",Match one pair at a time.,Listen carefully. Match punctuation to names.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q012,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Tap Correct,Tap the action word.,Tap the correct answer.,dog,jump,hat,small,jump,The correct answer is jump.,Action words show doing.,Listen carefully. Tap the action word.,english-card,"Dog, jump action, hat, small cards.",Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q013,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Tap Correct,Tap the naming word.,Tap the correct answer.,run,blue,book,big,book,The correct answer is book.,A book is a thing.,Listen carefully. Tap the naming word.,english-card,Word cards with a book picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q014,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Tap Correct,Tap the correct phrase for one egg.,Tap the correct answer.,a egg,an egg,the egg,eggs,an egg,The correct answer is an egg.,Egg starts with a vowel sound.,Listen carefully. Tap the correct phrase for one egg.,english-card,One egg picture with phrase choices.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q015,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Tap Correct,Tap the sentence with a capital letter at the start.,Tap the correct answer.,the cat runs.,The cat runs.,the Cat runs.,cat runs the.,The cat runs.,The correct answer is The cat runs..,Check the first letter.,Listen carefully. Tap the sentence with a capital letter at the start.,english-card,Sentence cards with first letters highlighted.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q016,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Fill Missing Word,Fill the word: I see ___ apple.,Type the missing word.,,,,,an,We say an apple.,Use an before apple.,Listen carefully. Fill the word: I see ___ apple.,english-card,Apple picture with sentence I see blank apple.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q017,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Fill Missing Word,Fill the word: I see ___ cat.,Type the missing word.,,,,,a,We say a cat.,Use a before cat.,Listen carefully. Fill the word: I see ___ cat.,english-card,Cat picture with sentence I see blank cat.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q018,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Fill Missing Word,Fill the plural: two ___. Picture: two cats.,Type the missing word.,,,,,cats,More than one cat is cats.,Add s.,Listen carefully. Fill the plural: two ___. Picture: two cats.,english-card,Two cats picture with phrase two blank.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q019,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Fill Missing Word,Fill the action: The dog ___. Picture: dog runs.,Type the missing word.,,,,,runs,Runs is the action.,Use the doing word.,Listen carefully. Fill the action: The dog ___. Picture: dog runs.,english-card,Dog running picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q020,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Fill Missing Word,Fill the describing word: The ball is ___.,Type the missing word.,,,,,round,Round describes the ball.,What is it like?,Listen carefully. Fill the describing word: The ball is ___.,english-card,Round ball picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q021,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Fill Missing Word,Fill the punctuation name: A dot at the end is a ___.,Type the missing word.,,,,,full stop,A dot at the end is a full stop.,Look at punctuation marks.,Listen carefully. Fill the punctuation name: A dot at the end is a ___.,english-card,Sentence ending dot highlighted.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q022,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Fill Missing Word,Fill the pronoun: ___ am Sam.,Type the missing word.,,,,,I,I am Sam is correct.,I is always capital.,Listen carefully. Fill the pronoun: ___ am Sam.,english-card,Child named Sam with sentence blank am Sam.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q023,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Text Input,Type the plural of dog.,Type the answer.,,,,,dogs,More than one dog is dogs.,Add s.,Listen carefully. Type the plural of dog.,english-card,One dog and three dogs picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q024,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Text Input,Type the article before apple.,Type the answer.,,,,,an,We use an before apple.,Listen to the first sound.,Listen carefully. Type the article before apple.,english-card,Apple picture with article answer box.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q025,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Text Input,Type the action word in: The cat jumps.,Type the answer.,,,,,jumps,Jumps is the action word.,What does the cat do?,Listen carefully. Type the action word in: The cat jumps.,english-card,Cat jumping picture with sentence.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q026,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",True / False,Run is an action word.,Choose True or False.,True,False,,,True,Run tells an action.,Action words tell doing.,Listen carefully. Run is an action word.,english-card,Child running with word run.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q027,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",True / False,Cat is an action word.,Choose True or False.,True,False,,,False,Cat is a naming word.,Cat names an animal.,Listen carefully. Cat is an action word.,english-card,Cat picture and word cat.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q028,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",True / False,We say an apple.,Choose True or False.,True,False,,,True,An apple is correct.,Use an before vowel sounds.,Listen carefully. We say an apple.,english-card,Apple picture with phrase an apple.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q029,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",True / False,Two book is the best plural phrase.,Choose True or False.,True,False,,,False,We say two books.,Add s for more than one.,Listen carefully. Two book is the best plural phrase.,english-card,Two books picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q030,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",True / False,A sentence can end with a full stop.,Choose True or False.,True,False,,,True,A full stop can end a sentence.,Check the end mark.,Listen carefully. A sentence can end with a full stop.,english-card,Sentence card ending with a dot.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
