Question ID,Question Pool Version,Status,Subject,Year,World,Level,Topic,Subtopic,Learning Objective,Difficulty,Question Type,Question,Visual Object,Visual Description,Option A,Option B,Option C,Option D,Correct Answer,Step 1,Step 2,Step 3,Final Explanation,LearnBot Tip,Assessment Eligible,Curriculum Alignment,Estimated Time (Seconds),Visual Asset Required,Voice Script,Reviewer,Review Status,Review Date,Version Notes
FW-Y1-L08-Q014,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Addition review,Review addition within 10.,Easy,Multiple Choice,4 ducks plus 1 more ducks. How many ducks altogether?,duck,"Show 4 ducks + 1 duck = 5. Use a plus sign, never 'or'.",4,5,6,,5,Start with 4 ducks.,Add 1 more ducks.,Count all: 5.,The correct answer is 5.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 4 ducks. Add 1 more ducks. Count all: 5.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q015,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Addition review,Review addition within 10.,Easy,Multiple Choice,4 leaves plus 2 more leaves. How many leaves altogether?,leaf,"Show 4 leaves + 2 leaves = 6. Use a plus sign, never 'or'.",5,6,7,,6,Start with 4 leaves.,Add 2 more leaves.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 4 leaves. Add 2 more leaves. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q016,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Addition review,Review addition within 10.,Easy,Multiple Choice,5 shells plus 1 more shells. How many shells altogether?,shell,"Show 5 shells + 1 shell = 6. Use a plus sign, never 'or'.",5,6,7,,6,Start with 5 shells.,Add 1 more shells.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 5 shells. Add 1 more shells. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q017,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Sequence review,Review number order within 10.,Easy,Fill Missing Number,"Fill in the missing number: 1, 2, __, 4.",number path,"Show forest stepping stones labelled 1, 2, __, 4.",,,,,3,Read the numbers in order.,Count forward to find the blank.,The missing number is 3.,The correct answer is 3.,A blank is like an empty step on the path.,Yes,Both,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 3.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q018,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Sequence review,Review number order within 10.,Easy,Fill Missing Number,"Fill in the missing number: 2, 3, __, 5.",number path,"Show forest stepping stones labelled 2, 3, __, 5.",,,,,4,Read the numbers in order.,Count forward to find the blank.,The missing number is 4.,The correct answer is 4.,A blank is like an empty step on the path.,Yes,Both,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 4.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q019,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Sequence review,Review number order within 10.,Easy,Fill Missing Number,"Fill in the missing number: 3, 4, __, 6.",number path,"Show forest stepping stones labelled 3, 4, __, 6.",,,,,5,Read the numbers in order.,Count forward to find the blank.,The missing number is 5.,The correct answer is 5.,A blank is like an empty step on the path.,Yes,Both,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 5.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q020,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Sequence review,Review number order within 10.,Easy,Fill Missing Number,"Fill in the missing number: 4, 5, __, 7.",number path,"Show forest stepping stones labelled 4, 5, __, 7.",,,,,6,Read the numbers in order.,Count forward to find the blank.,The missing number is 6.,The correct answer is 6.,A blank is like an empty step on the path.,Yes,Both,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q021,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Sequence review,Review number order within 10.,Easy,Fill Missing Number,"Fill in the missing number: 5, 6, __, 8.",number path,"Show forest stepping stones labelled 5, 6, __, 8.",,,,,7,Read the numbers in order.,Count forward to find the blank.,The missing number is 7.,The correct answer is 7.,A blank is like an empty step on the path.,Yes,Both,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 7.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q022,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Sequence review,Review number order within 10.,Easy,Fill Missing Number,"Fill in the missing number: 6, 7, __, 9.",number path,"Show forest stepping stones labelled 6, 7, __, 9.",,,,,8,Read the numbers in order.,Count forward to find the blank.,The missing number is 8.,The correct answer is 8.,A blank is like an empty step on the path.,Yes,Both,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 8.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q023,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Sequence review,Review number order within 10.,Easy,Fill Missing Number,"Fill in the missing number: 7, 8, __, 10.",number path,"Show forest stepping stones labelled 7, 8, __, 10.",,,,,9,Read the numbers in order.,Count forward to find the blank.,The missing number is 9.,The correct answer is 9.,A blank is like an empty step on the path.,Yes,Both,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 9.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q024,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Comparison review,Review comparing groups.,Easy,Tap Correct Group,Tap the group with more apples.,apple,Show Group A with 3 apples and Group B with 5 apples. Use labels.,Group A: 3 apples,Group B: 5 apples,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q025,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Comparison review,Review comparing groups.,Easy,Tap Correct Group,Tap the group with fewer stars.,star,Show Group A with 6 stars and Group B with 2 stars. Use labels.,Group A: 6 stars,Group B: 2 stars,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q026,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Comparison review,Review comparing groups.,Easy,Tap Correct Group,Tap the groups with the same number of ducks.,duck,Show Group A with 4 ducks and 4 ducks and Group B with 4 ducks and 3 ducks. Use labels.,Group A: 4 ducks and 4 ducks,Group B: 4 ducks and 3 ducks,,,Group A,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Both.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q027,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Comparison review,Review comparing groups.,Medium,Tap Correct Group,Tap the group with more flowers.,flower,Show Group A with 7 flowers and Group B with 9 flowers. Use labels.,Group A: 7 flowers,Group B: 9 flowers,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q028,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Comparison review,Review comparing groups.,Medium,Tap Correct Group,Tap the group with fewer fish.,fish,Show Group A with 8 fish and Group B with 5 fish. Use labels.,Group A: 8 fish,Group B: 5 fish,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q029,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Comparison review,Review comparing groups.,Medium,Tap Correct Group,Tap the group with more leaves.,leaf,Show Group A with 10 leaves and Group B with 6 leaves. Use labels.,Group A: 10 leaves,Group B: 6 leaves,,,Group A,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group A.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q030,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Comparison review,Review comparing groups.,Easy,Tap Correct Group,Tap the group with fewer shells.,shell,Show Group A with 1 shell and Group B with 3 shells. Use labels.,Group A: 1 shell,Group B: 3 shells,,,Group A,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group A.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
